block,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
15053226,0–1,4744692,1.12692035647414,1.0,1.0,1.0,1.0,2.0,3.0,605.0
15053226,"1,000–10,000",865446,2.5432077795726133,1.0,1.0,3.0,5.0,8.0,17.0,845.0
15053226,"10,000–100,000",223815,3.0188771976855886,1.0,1.0,3.0,6.0,10.0,24.0,837.0
15053226,"100–1,000",3494617,1.5422871805408147,1.0,1.0,2.0,3.0,4.0,8.0,315.0
15053226,1–100,9609927,1.2219145889453686,1.0,1.0,1.0,2.0,2.0,4.0,770.0
15053226,">100,000",88747,2.9487870012507464,1.0,1.0,2.0,5.0,9.0,27.0,982.0
15253306,0–1,4597662,1.127738620194351,1.0,1.0,1.0,1.0,2.0,3.0,605.0
15253306,"1,000–10,000",971221,2.524427498993535,1.0,1.0,3.0,5.0,8.0,16.0,859.0
15253306,"10,000–100,000",253431,3.1491609155943827,1.0,1.0,3.0,7.0,11.0,25.0,849.0
15253306,"100–1,000",3592498,1.5223293095779038,1.0,1.0,1.0,3.0,4.0,7.0,315.0
15253306,1–100,9508462,1.2142373813977487,1.0,1.0,1.0,2.0,2.0,4.0,770.0
15253306,">100,000",98942,3.0010612277900184,1.0,1.0,2.0,5.0,9.0,28.0,997.0
15449618,0–1,4878360,1.1259533941734516,1.0,1.0,1.0,1.0,2.0,3.0,605.0
15449618,"1,000–10,000",905524,2.585804462388628,1.0,1.0,3.0,5.0,8.0,17.0,307.0
15449618,"10,000–100,000",259029,2.988715549224218,1.0,1.0,3.0,6.0,10.0,24.0,875.0
15449618,"100–1,000",3362546,1.5621716401797923,1.0,1.0,2.0,3.0,4.0,8.0,873.0
15449618,1–100,9554344,1.2236868381544563,1.0,1.0,1.0,2.0,2.0,4.0,771.0
15449618,">100,000",96254,2.973611486275895,1.0,1.0,2.0,5.0,9.0,27.0,1014.0
15649595,0–1,5662296,1.112660305996013,1.0,1.0,1.0,1.0,2.0,3.0,606.0
15649595,"1,000–10,000",867401,2.630177968436744,1.0,1.0,3.0,6.0,8.0,17.0,713.0
15649595,"10,000–100,000",254850,2.97649597802629,1.0,1.0,3.0,6.0,10.0,24.0,723.0
15649595,"100–1,000",3264898,1.5809859909865485,1.0,1.0,2.0,3.0,4.0,8.0,882.0
15649595,1–100,9780477,1.227512011939704,1.0,1.0,1.0,2.0,2.0,4.0,771.0
15649595,">100,000",96426,2.8921763839628314,1.0,1.0,2.0,5.0,8.0,26.0,1032.0
15871480,0–1,5934502,1.1086165275536177,1.0,1.0,1.0,1.0,2.0,3.0,606.0
15871480,"1,000–10,000",902895,2.625002907314804,1.0,1.0,3.0,6.0,8.0,17.0,792.0
15871480,"10,000–100,000",261190,3.0648455147593707,1.0,1.0,3.0,6.0,10.0,24.0,563.0
15871480,"100–1,000",3345732,1.574425566662243,1.0,1.0,2.0,3.0,4.0,8.0,890.0
15871480,1–100,9762694,1.2300467473424856,1.0,1.0,1.0,2.0,2.0,4.0,771.0
15871480,">100,000",97790,3.034001431639227,1.0,1.0,2.0,5.0,9.0,27.0,1044.0
16086234,0–1,6015730,1.1142594498090839,1.0,1.0,1.0,1.0,2.0,3.0,713.0
16086234,"1,000–10,000",878951,2.7099041926114196,1.0,1.0,3.0,6.0,8.0,17.0,621.0
16086234,"10,000–100,000",257089,3.119021039406587,1.0,1.0,3.0,7.0,10.0,25.0,945.0
16086234,"100–1,000",3113195,1.636124303167646,1.0,1.0,2.0,3.0,4.0,8.0,902.0
16086234,1–100,10093034,1.2382649260866454,1.0,1.0,1.0,2.0,2.0,4.0,771.0
16086234,">100,000",100310,2.8996211743594857,1.0,1.0,2.0,5.0,8.0,25.0,1077.0
16308190,0–1,6220582,1.1089018680245675,1.0,1.0,1.0,1.0,2.0,3.0,731.0
16308190,"1,000–10,000",836427,2.7549839974080226,1.0,1.0,3.0,6.0,9.0,18.0,639.0
16308190,"10,000–100,000",252480,3.0355552915082384,1.0,1.0,3.0,6.0,10.0,24.0,1023.0
16308190,"100–1,000",2561215,1.772335005065955,1.0,1.0,2.0,3.0,5.0,9.0,910.0
16308190,1–100,10305757,1.249008976245025,1.0,1.0,1.0,2.0,2.0,4.0,771.0
16308190,">100,000",101426,2.7847396131169524,1.0,1.0,2.0,5.0,8.0,24.0,1123.0
16530248,0–1,6072845,1.104481342764388,1.0,1.0,1.0,1.0,2.0,3.0,884.0
16530248,"1,000–10,000",980644,2.704168893094742,1.0,1.0,3.0,6.0,8.0,17.0,662.0
16530248,"10,000–100,000",285324,3.242030113134542,1.0,1.0,3.0,7.0,11.0,25.0,910.0
16530248,"100–1,000",2754319,1.707408255906451,1.0,1.0,2.0,3.0,4.0,9.0,922.0
16530248,1–100,10256014,1.2352167225980777,1.0,1.0,1.0,2.0,2.0,4.0,771.0
16530248,">100,000",113707,2.818269763514999,1.0,1.0,2.0,5.0,8.0,25.0,1158.0
16730072,0–1,6263241,1.1018584467690131,1.0,1.0,1.0,1.0,2.0,3.0,1015.0
16730072,"1,000–10,000",1022091,2.7196286827689513,1.0,1.0,3.0,6.0,8.0,17.0,942.0
16730072,"10,000–100,000",295034,3.391744680274138,2.0,1.0,3.0,7.0,11.0,26.0,984.0
16730072,"100–1,000",2718011,1.7209764787559727,1.0,1.0,2.0,3.0,4.0,9.0,623.0
16730072,1–100,10231508,1.2324659277987176,1.0,1.0,1.0,2.0,2.0,4.0,771.0
16730072,">100,000",116761,2.8742045717319997,1.0,1.0,2.0,5.0,8.0,25.0,1195.0
16950603,0–1,6249463,1.1055693905220336,1.0,1.0,1.0,1.0,2.0,3.0,1102.0
16950603,"1,000–10,000",1006080,2.7567042382315523,1.0,1.0,3.0,6.0,9.0,17.0,953.0
16950603,"10,000–100,000",289755,3.387599868854722,2.0,1.0,3.0,7.0,11.0,26.0,1044.0
16950603,"100–1,000",2716671,1.725555284390344,1.0,1.0,2.0,3.0,5.0,9.0,623.0
16950603,1–100,10397110,1.234344928542643,1.0,1.0,1.0,2.0,2.0,4.0,771.0
16950603,">100,000",112416,2.9129839168801595,1.0,1.0,2.0,5.0,8.0,26.0,1235.0
17162287,0–1,6339726,1.1063383496384545,1.0,1.0,1.0,1.0,2.0,3.0,818.0
17162287,"1,000–10,000",990805,2.796379711446753,1.0,1.0,3.0,6.0,9.0,18.0,978.0
17162287,"10,000–100,000",288573,3.3754474604346214,2.0,1.0,3.0,7.0,11.0,26.0,1125.0
17162287,"100–1,000",2823705,1.7303957035171875,1.0,1.0,2.0,3.0,5.0,9.0,623.0
17162287,1–100,10577173,1.2357504221591156,1.0,1.0,1.0,2.0,2.0,4.0,1180.0
17162287,">100,000",112733,2.890440243761809,1.0,1.0,2.0,5.0,8.0,26.0,1206.0
17382266,0–1,6546819,1.1093245437211567,1.0,1.0,1.0,1.0,2.0,3.0,819.0
17382266,"1,000–10,000",937259,2.898568058562254,2.0,1.0,3.0,6.0,9.0,18.0,1070.0
17382266,"10,000–100,000",272750,3.371827681026581,1.0,1.0,3.0,7.0,12.0,27.0,1208.0
17382266,"100–1,000",2814397,1.7783638910928345,1.0,1.0,2.0,3.0,5.0,9.0,685.0
17382266,1–100,10847132,1.2480838252913304,1.0,1.0,1.0,2.0,2.0,4.0,1283.0
17382266,">100,000",109007,2.8920161090572165,1.0,1.0,2.0,5.0,8.0,26.0,1279.0
17595510,0–1,6966330,1.1080271821748324,1.0,1.0,1.0,1.0,2.0,3.0,775.0
17595510,"1,000–10,000",902189,2.9593588483122715,2.0,1.0,3.0,6.0,9.0,19.0,685.0
17595510,"10,000–100,000",268555,3.3836122954329655,1.0,1.0,3.0,7.0,12.0,27.0,1252.0
17595510,"100–1,000",2628471,1.8232246047226697,1.0,1.0,2.0,3.0,5.0,10.0,1036.0
