block,wallet_type,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
11766939,CA,0–1,19904,1.0310992765273312,1.0,1.0,1.0,1.0,1.0,2.0,20.0
11766939,CA,"1,000–10,000",2518,1.3137410643367753,1.0,1.0,1.0,2.0,3.0,5.0,21.0
11766939,CA,"10,000–100,000",1798,1.3904338153503892,1.0,1.0,1.0,2.0,3.0,6.0,26.0
11766939,CA,"100–1,000",3219,1.201304753028891,1.0,1.0,1.0,2.0,2.0,4.0,15.0
11766939,CA,1–100,5278,1.1403940886699508,1.0,1.0,1.0,1.0,2.0,3.0,8.0
11766939,CA,">100,000",1464,1.616120218579235,1.0,1.0,2.0,2.0,2.849999999999909,5.0,17.0
11766939,EOA,0–1,3090840,1.1296016616842024,1.0,1.0,1.0,1.0,2.0,3.0,194.0
11766939,EOA,"1,000–10,000",493103,2.2895865569668,1.0,1.0,3.0,5.0,7.0,12.0,207.0
11766939,EOA,"10,000–100,000",194548,2.9154347513210106,1.0,1.0,3.0,7.0,11.0,20.0,332.0
11766939,EOA,"100–1,000",1070100,1.4920072890384077,1.0,1.0,1.0,3.0,4.0,7.0,238.0
11766939,EOA,1–100,5460873,1.1865447154694864,1.0,1.0,1.0,2.0,2.0,4.0,216.0
11766939,EOA,">100,000",47997,2.912286184553201,1.0,1.0,2.0,6.0,11.0,25.0,439.0
11948960,CA,0–1,20490,1.0330405075646656,1.0,1.0,1.0,1.0,1.0,2.0,20.0
11948960,CA,"1,000–10,000",2646,1.3325774754346182,1.0,1.0,1.0,2.0,3.0,6.0,21.0
11948960,CA,"10,000–100,000",1939,1.4234141309953585,1.0,1.0,1.0,2.0,3.0,6.619999999999891,26.0
11948960,CA,"100–1,000",3420,1.20906432748538,1.0,1.0,1.0,2.0,2.0,4.0,15.0
11948960,CA,1–100,5444,1.1348273328434975,1.0,1.0,1.0,1.0,2.0,3.0,8.0
11948960,CA,">100,000",1729,1.6419895893580103,1.0,1.0,2.0,2.0,3.0,6.0,20.0
11948960,EOA,0–1,3066142,1.1243676907331754,1.0,1.0,1.0,1.0,2.0,3.0,243.0
11948960,EOA,"1,000–10,000",693659,2.154808054101511,1.0,1.0,2.0,4.0,6.0,11.0,251.0
11948960,EOA,"10,000–100,000",236867,3.302836612951572,1.0,1.0,4.0,8.0,12.0,22.0,382.0
11948960,EOA,"100–1,000",1363845,1.4240232577748937,1.0,1.0,1.0,2.0,3.0,6.0,253.0
11948960,EOA,1–100,5616403,1.1791696571631345,1.0,1.0,1.0,2.0,2.0,4.0,216.0
11948960,EOA,">100,000",69701,2.9361845597624137,1.0,1.0,2.0,6.0,11.0,27.0,496.0
12150245,CA,0–1,21286,1.0337310908578408,1.0,1.0,1.0,1.0,1.0,2.0,20.0
12150245,CA,"1,000–10,000",2805,1.3080213903743316,1.0,1.0,1.0,2.0,2.0,5.0,15.0
12150245,CA,"10,000–100,000",2154,1.4480037140204272,1.0,1.0,1.0,2.0,3.0,8.0,26.0
12150245,CA,"100–1,000",3661,1.204862059546572,1.0,1.0,1.0,2.0,2.0,4.0,10.0
12150245,CA,1–100,5442,1.1300992282249174,1.0,1.0,1.0,1.0,2.0,3.0,8.0
12150245,CA,">100,000",2274,1.6666666666666667,1.0,1.0,2.0,2.0,3.0,7.0,22.0
12150245,EOA,0–1,2790849,1.1053579036343422,1.0,1.0,1.0,1.0,2.0,3.0,243.0
12150245,EOA,"1,000–10,000",900792,2.0224913187506104,1.0,1.0,2.0,4.0,6.0,10.0,253.0
12150245,EOA,"10,000–100,000",326516,3.304303617586887,1.0,1.0,4.0,8.0,11.0,21.0,461.0
12150245,EOA,"100–1,000",1628503,1.403808282821708,1.0,1.0,1.0,2.0,3.0,6.0,239.0
12150245,EOA,1–100,5957206,1.1652125174116859,1.0,1.0,1.0,2.0,2.0,3.0,216.0
12150245,EOA,">100,000",89049,3.4165796359307796,1.0,1.0,3.0,8.0,14.0,31.0,555.0
12344945,CA,0–1,23214,1.0337727233565952,1.0,1.0,1.0,1.0,1.0,2.0,20.0
12344945,CA,"1,000–10,000",3192,1.3226817042606516,1.0,1.0,1.0,2.0,2.0,6.0,15.0
