size_bucket,wallet_count,wallet_pct,wallet_type,wealth_bucket,block
11–20,749,1.3402,EOA,"10,000–100,000",9976964
2,4647,8.3147,EOA,"10,000–100,000",9976964
21–50,86,0.1539,EOA,"10,000–100,000",9976964
3,2260,4.0437,EOA,"10,000–100,000",9976964
4,1391,2.4889,EOA,"10,000–100,000",9976964
5,1002,1.7928,EOA,"10,000–100,000",9976964
51–100,4,0.0072,EOA,"10,000–100,000",9976964
6–10,2018,3.6107,EOA,"10,000–100,000",9976964
1,517814,82.6985,EOA,"100–1,000",9976964
11–20,1348,0.2153,EOA,"100–1,000",9976964
2,51856,8.2818,EOA,"100–1,000",9976964
21–50,123,0.0196,EOA,"100–1,000",9976964
3,24281,3.8778,EOA,"100–1,000",9976964
4,13015,2.0786,EOA,"100–1,000",9976964
5,7571,1.2091,EOA,"100–1,000",9976964
51–100,4,0.0006,EOA,"100–1,000",9976964
6–10,10134,1.6185,EOA,"100–1,000",9976964
>100,1,0.0002,EOA,"100–1,000",9976964
1,3186856,84.9751,EOA,1–100,9976964
11–20,1451,0.0387,EOA,1–100,9976964
2,416939,11.1174,EOA,1–100,9976964
21–50,106,0.0028,EOA,1–100,9976964
3,85401,2.2772,EOA,1–100,9976964
4,30647,0.8172,EOA,1–100,9976964
5,14112,0.3763,EOA,1–100,9976964
6–10,14828,0.3954,EOA,1–100,9976964
1,7098,72.7627,EOA,">100,000",9976964
11–20,134,1.3737,EOA,">100,000",9976964
2,1111,11.389,EOA,">100,000",9976964
21–50,68,0.6971,EOA,">100,000",9976964
3,482,4.9411,EOA,">100,000",9976964
4,274,2.8088,EOA,">100,000",9976964
5,192,1.9682,EOA,">100,000",9976964
51–100,23,0.2358,EOA,">100,000",9976964
6–10,371,3.8032,EOA,">100,000",9976964
>100,2,0.0205,EOA,">100,000",9976964
1,1056,92.7944,CA,0–1,10176690
11–20,1,0.0879,CA,0–1,10176690
2,67,5.8875,CA,0–1,10176690
3,11,0.9666,CA,0–1,10176690
4,1,0.0879,CA,0–1,10176690
6–10,2,0.1757,CA,0–1,10176690
1,104,57.7778,CA,"1,000–10,000",10176690
2,52,28.8889,CA,"1,000–10,000",10176690
21–50,1,0.5556,CA,"1,000–10,000",10176690
3,11,6.1111,CA,"1,000–10,000",10176690
4,4,2.2222,CA,"1,000–10,000",10176690
5,2,1.1111,CA,"1,000–10,000",10176690
6–10,6,3.3333,CA,"1,000–10,000",10176690
1,43,47.7778,CA,"10,000–100,000",10176690
2,41,45.5556,CA,"10,000–100,000",10176690
3,1,1.1111,CA,"10,000–100,000",10176690
4,2,2.2222,CA,"10,000–100,000",10176690
5,2,2.2222,CA,"10,000–100,000",10176690
6–10,1,1.1111,CA,"10,000–100,000",10176690
1,169,70.4167,CA,"100–1,000",10176690
2,44,18.3333,CA,"100–1,000",10176690
3,13,5.4167,CA,"100–1,000",10176690
4,6,2.5,CA,"100–1,000",10176690
5,5,2.0833,CA,"100–1,000",10176690
6–10,3,1.25,CA,"100–1,000",10176690
1,347,74.946,CA,1–100,10176690
2,73,15.7667,CA,1–100,10176690
3,21,4.5356,CA,1–100,10176690
4,10,2.1598,CA,1–100,10176690
5,6,1.2959,CA,1–100,10176690
6–10,6,1.2959,CA,1–100,10176690
1,22,43.1373,CA,">100,000",10176690
2,24,47.0588,CA,">100,000",10176690
3,3,5.8824,CA,">100,000",10176690
5,1,1.9608,CA,">100,000",10176690
6–10,1,1.9608,CA,">100,000",10176690
1,2365673,89.5192,EOA,0–1,10176690
11–20,370,0.014,EOA,0–1,10176690
2,208982,7.9081,EOA,0–1,10176690
21–50,20,0.0008,EOA,0–1,10176690
3,43121,1.6317,EOA,0–1,10176690
4,13983,0.5291,EOA,0–1,10176690
5,7257,0.2746,EOA,0–1,10176690
6–10,3236,0.1225,EOA,0–1,10176690
1,146680,67.8349,EOA,"1,000–10,000",10176690
11–20,2019,0.9337,EOA,"1,000–10,000",10176690
2,28331,13.1022,EOA,"1,000–10,000",10176690
21–50,158,0.0731,EOA,"1,000–10,000",10176690
3,14927,6.9033,EOA,"1,000–10,000",10176690
4,8739,4.0415,EOA,"1,000–10,000",10176690
5,5650,2.6129,EOA,"1,000–10,000",10176690
51–100,7,0.0032,EOA,"1,000–10,000",10176690
