size_bucket,wallet_count,wallet_pct,wealth_bucket,block
>100,3,0.0027,"10,000–100,000",11167817
1,533998,72.3414,"100–1,000",11167817
11–20,2436,0.33,"100–1,000",11167817
2,101605,13.7646,"100–1,000",11167817
21–50,219,0.0297,"100–1,000",11167817
3,46526,6.3029,"100–1,000",11167817
4,23216,3.1451,"100–1,000",11167817
5,12823,1.7371,"100–1,000",11167817
51–100,6,0.0008,"100–1,000",11167817
6–10,17331,2.3479,"100–1,000",11167817
>100,4,0.0005,"100–1,000",11167817
1,4005479,85.8584,1–100,11167817
11–20,1764,0.0378,1–100,11167817
2,489546,10.4935,1–100,11167817
21–50,123,0.0026,1–100,11167817
3,100726,2.1591,1–100,11167817
4,34981,0.7498,1–100,11167817
5,15673,0.336,1–100,11167817
51–100,8,0.0002,1–100,11167817
6–10,16911,0.3625,1–100,11167817
>100,2,0.0,1–100,11167817
1,18836,71.7671,">100,000",11167817
11–20,561,2.1375,">100,000",11167817
2,2819,10.7407,">100,000",11167817
21–50,198,0.7544,">100,000",11167817
3,1252,4.7703,">100,000",11167817
4,768,2.9262,">100,000",11167817
5,557,2.1222,">100,000",11167817
51–100,39,0.1486,">100,000",11167817
6–10,1203,4.5836,">100,000",11167817
>100,13,0.0495,">100,000",11167817
0,1,0.0,0–1,11363270
1,2797150,90.8316,0–1,11363270
11–20,488,0.0158,0–1,11363270
2,215689,7.004,0–1,11363270
21–50,37,0.0012,0–1,11363270
3,42414,1.3773,0–1,11363270
4,13358,0.4338,0–1,11363270
5,7044,0.2287,0–1,11363270
51–100,12,0.0004,0–1,11363270
6–10,3297,0.1071,0–1,11363270
1,209314,58.733,"1,000–10,000",11363270
11–20,5917,1.6603,"1,000–10,000",11363270
2,53998,15.1517,"1,000–10,000",11363270
21–50,826,0.2318,"1,000–10,000",11363270
3,30910,8.6733,"1,000–10,000",11363270
4,18826,5.2825,"1,000–10,000",11363270
5,12727,3.5712,"1,000–10,000",11363270
51–100,36,0.0101,"1,000–10,000",11363270
6–10,23826,6.6855,"1,000–10,000",11363270
>100,2,0.0006,"1,000–10,000",11363270
1,96234,70.6222,"10,000–100,000",11363270
11–20,3643,2.6734,"10,000–100,000",11363270
2,12502,9.1747,"10,000–100,000",11363270
21–50,773,0.5673,"10,000–100,000",11363270
3,6891,5.057,"10,000–100,000",11363270
4,4718,3.4623,"10,000–100,000",11363270
5,3358,2.4643,"10,000–100,000",11363270
51–100,43,0.0316,"10,000–100,000",11363270
6–10,8099,5.9435,"10,000–100,000",11363270
>100,5,0.0037,"10,000–100,000",11363270
1,553712,72.944,"100–1,000",11363270
11–20,2300,0.303,"100–1,000",11363270
2,103452,13.6284,"100–1,000",11363270
21–50,209,0.0275,"100–1,000",11363270
3,46985,6.1896,"100–1,000",11363270
4,23256,3.0637,"100–1,000",11363270
5,12540,1.652,"100–1,000",11363270
51–100,8,0.0011,"100–1,000",11363270
6–10,16627,2.1904,"100–1,000",11363270
>100,3,0.0004,"100–1,000",11363270
1,4372692,86.2983,1–100,11363270
11–20,1679,0.0331,1–100,11363270
2,519863,10.2599,1–100,11363270
