block_number,date,optimisation,token_group,mean_dist,median_dist,std_dist,count
21948292,2025-03-01 00:00:00,max_sharpe,5,70.93055352396938,82.86533973268601,27.537625867517388,260106
21948292,2025-03-01 00:00:00,max_sharpe,6-10,77.69217016476485,87.6863391958132,23.889637125240938,430466
21948292,2025-03-01 00:00:00,safer_risk,11-20,67.05526783329582,68.83435794304089,18.267515441249135,128244
21948292,2025-03-01 00:00:00,safer_risk,2,5.546569011658083e-07,5.912166242683092e-08,3.0421183564209025e-05,3087106
21948292,2025-03-01 00:00:00,safer_risk,21+,76.51976963031926,79.0580604961545,14.883366777685561,36176
21948292,2025-03-01 00:00:00,safer_risk,3,22.933222715002234,16.82756897274275,21.595108603732456,990199
21948292,2025-03-01 00:00:00,safer_risk,4,35.28204859022415,32.312024401355174,23.282699737019083,463198
21948292,2025-03-01 00:00:00,safer_risk,5,43.06795472751322,41.856335630371376,23.193961781057126,260106
21948292,2025-03-01 00:00:00,safer_risk,6-10,53.53546449153529,53.93927308027165,22.06827521426249,430466
22170335,2025-04-01 00:00:00,better_return,11-20,76.95922139875735,84.4959818704061,23.225381532633982,133574
22170335,2025-04-01 00:00:00,better_return,2,14.813135932619545,2.1380847786689472e-07,26.287501833825537,3144260
22170335,2025-04-01 00:00:00,better_return,21+,85.42762369569083,92.01493015977368,17.913170839903778,38287
22170335,2025-04-01 00:00:00,better_return,3,31.719675123957472,22.680997151371834,29.896964385094535,1011545
22170335,2025-04-01 00:00:00,better_return,4,44.264651953846894,41.1998218638869,30.99489900636092,473267
22170335,2025-04-01 00:00:00,better_return,5,52.18960744795018,52.84355113672115,30.390777239744363,266821
22170335,2025-04-01 00:00:00,better_return,6-10,63.32322279973016,67.8380778552824,28.547265226402885,442874
22170335,2025-04-01 00:00:00,max_sharpe,11-20,86.84599963139871,90.80805192384256,17.09995549179817,133574
22170335,2025-04-01 00:00:00,max_sharpe,2,35.66582384040822,29.26147037263227,33.691839194682835,3144260
22170335,2025-04-01 00:00:00,max_sharpe,21+,92.25057860794693,96.28445245123088,12.286043689087705,38287
22170335,2025-04-01 00:00:00,max_sharpe,3,55.56150273502779,66.38885335067489,32.749513614332336,1011545
22170335,2025-04-01 00:00:00,max_sharpe,4,66.00244694812238,79.3320178779627,29.752659027016986,473267
22170335,2025-04-01 00:00:00,max_sharpe,5,71.7316879248116,83.79819931140563,27.333881675310163,266821
22170335,2025-04-01 00:00:00,max_sharpe,6-10,78.45884199003716,88.05903496402061,23.494296847574336,442874
22170335,2025-04-01 00:00:00,safer_risk,11-20,69.06120096027622,71.29826431008328,18.44022638931582,133574
22170335,2025-04-01 00:00:00,safer_risk,2,1.3105722438764385e-05,4.386692536995085e-08,0.022558015253893976,3144260
22170335,2025-04-01 00:00:00,safer_risk,21+,78.46941445269577,81.20474384525946,14.876107710859204,38287
22170335,2025-04-01 00:00:00,safer_risk,3,22.841752655689156,16.50336397111336,21.68287992248806,1011545
22170335,2025-04-01 00:00:00,safer_risk,4,35.70816209679688,33.10445264453361,23.393871655982853,473267
22170335,2025-04-01 00:00:00,safer_risk,5,43.86132899396236,43.20963116120357,23.34576021267467,266821
22170335,2025-04-01 00:00:00,safer_risk,6-10,55.1421922269448,56.11074796841076,22.213331604129834,442874
22385294,2025-05-01 00:00:00,better_return,11-20,72.70441185442246,77.5936344545265,23.094972087536824,133721
22385294,2025-05-01 00:00:00,better_return,2,15.886434107690995,1.2613547220596821e-06,26.151584802145948,3204284
22385294,2025-05-01 00:00:00,better_return,21+,82.07887663547642,86.76417423361114,17.55358106568288,38003
22385294,2025-05-01 00:00:00,better_return,3,32.764689793128916,23.971845631851576,30.011990963899436,1027380
22385294,2025-05-01 00:00:00,better_return,4,42.649725638181835,38.71246632031976,30.295778909607584,479538
22385294,2025-05-01 00:00:00,better_return,5,50.28779612683855,49.38927628178355,29.86638641174509,269048
