block_number,block_date,n_wallets,strategy,metric,quantile,value
9581792,2020-03-01,926317,safer_risk,alpha,0.9,0.13688464238099263
9581792,2020-03-01,926317,safer_risk,alpha,0.95,0.2786226789916049
9581792,2020-03-01,926317,safer_risk,alpha,0.99,0.715541922141838
9581792,2020-03-01,926317,safer_risk,excess_return,0.01,-0.19114502786061205
9581792,2020-03-01,926317,safer_risk,excess_return,0.05,-0.1565345988961635
9581792,2020-03-01,926317,safer_risk,excess_return,0.1,-0.12246009796298418
9581792,2020-03-01,926317,safer_risk,excess_return,0.25,-0.028791159803194133
9581792,2020-03-01,926317,safer_risk,excess_return,0.5,0.0013020596136882334
9581792,2020-03-01,926317,safer_risk,excess_return,0.75,0.0903244002426229
9581792,2020-03-01,926317,safer_risk,excess_return,0.9,0.2954027872269548
9581792,2020-03-01,926317,safer_risk,excess_return,0.95,0.40060178005308256
9581792,2020-03-01,926317,safer_risk,excess_return,0.99,0.6993241768363111
9782602,2020-04-01,941259,baseline,alpha,0.01,-0.5859279360620238
9782602,2020-04-01,941259,baseline,alpha,0.05,-0.4282568275195122
9782602,2020-04-01,941259,baseline,alpha,0.1,-0.4271107167383532
9782602,2020-04-01,941259,baseline,alpha,0.25,-0.39427196642390294
9782602,2020-04-01,941259,baseline,alpha,0.5,-0.1960661909974853
9782602,2020-04-01,941259,baseline,alpha,0.75,-0.04992623837364475
9782602,2020-04-01,941259,baseline,alpha,0.9,0.14224596571442
9782602,2020-04-01,941259,baseline,alpha,0.95,0.4045129212691436
9782602,2020-04-01,941259,baseline,alpha,0.99,1.4926224871135525
9782602,2020-04-01,941259,baseline,excess_return,0.01,-0.5572797108783529
9782602,2020-04-01,941259,baseline,excess_return,0.05,-0.3853440637103239
9782602,2020-04-01,941259,baseline,excess_return,0.1,-0.3844571076777846
9782602,2020-04-01,941259,baseline,excess_return,0.25,-0.35841659954849614
9782602,2020-04-01,941259,baseline,excess_return,0.5,-0.17854187946477615
9782602,2020-04-01,941259,baseline,excess_return,0.75,-0.054261820004017774
9782602,2020-04-01,941259,baseline,excess_return,0.9,0.1463411218321455
9782602,2020-04-01,941259,baseline,excess_return,0.95,0.421391618302155
9782602,2020-04-01,941259,baseline,excess_return,0.99,1.4373864388975695
9782602,2020-04-01,941259,better_return,alpha,0.01,-0.5853250405014694
9782602,2020-04-01,941259,better_return,alpha,0.05,-0.3887799207298455
9782602,2020-04-01,941259,better_return,alpha,0.1,-0.3382909202803901
9782602,2020-04-01,941259,better_return,alpha,0.25,-0.3339751720941559
