block,wallet_type,n_wallets,n_wallets_pct_of_top1,total_value_usd,value_pct_of_top1,value_pct_of_all,mean_value,median_value,p75_value,p90_value,p99_value,max_value
15649595,EOA,16145,81.0207,340521135324.4,74.2494,69.326,21091429.874537032,2093081.891979921,3789388.4313048613,9608713.296616292,115172177.10738063,42294860283.46473
15871480,CA,3915,19.28,123220559262.4,26.0913,24.3594,31473961.49742137,3250939.8817492877,9997531.170531806,42701943.436974876,634636677.1289456,3952767923.0831957
15871480,EOA,16391,80.72,349046228748.7,73.9087,69.0026,21294992.907613657,2182829.188895966,4195396.599931491,9851837.236198517,124792669.74569136,45594441808.34056
16086234,CA,3811,18.6275,99984355130.17,24.4208,22.563,26235726.87750362,2998816.6602972024,9204182.566138316,36429915.702317685,457228009.8794083,3815098962.9120336
16086234,EOA,16648,81.3725,309438658922.81,75.5792,69.8297,18587137.12895284,1936165.1183665944,3396399.423932802,9566085.434732951,105184289.55135763,38671633443.10694
16308190,CA,3759,18.5373,88549734055.27,25.3705,23.1351,23556726.271687012,2788069.1659234585,7976118.598537734,32830104.16564872,413853464.9388095,3740072203.5739036
16308190,EOA,16519,81.4627,260476186128.91,74.6295,68.0538,15768278.111805106,1664964.7381481053,3104851.920202441,8679726.388370328,99346977.57061145,34091910411.30262
16530248,CA,3886,18.9904,113672838329.72,27.5439,25.0282,29251888.401883934,3270187.2789832875,10119033.429348115,42315901.33820383,490402491.9330025,4333384714.616767
16530248,EOA,16577,81.0096,299024719316.23,72.4561,65.8385,18038530.45280995,2008758.5990682156,3514441.408378844,9446093.30920947,108547907.69661509,42556126826.72979
16730072,CA,3973,19.2425,127102665073.09,29.0737,26.318,31991609.63329655,3532989.158275265,11008690.516490275,48732124.81340488,556474981.6974716,5108862029.664604
16730072,EOA,16674,80.7575,310071046150.65,70.9263,64.2035,18596080.493621923,2490214.0132729323,5207587.849796418,9494862.327871375,103170054.94124463,42531227768.35513
16950603,CA,4113,19.8007,127186578145.23,28.0419,25.6873,30923067.869006816,3234247.3160161693,9906741.097876916,42263315.7562499,498812330.42243886,6296121092.505012
16950603,EOA,16659,80.1993,326371701085.54,71.9581,65.9159,19591314.06960425,2442975.0857103462,5748381.720590526,10128022.335999979,126416415.6383677,38993950195.31562
17162287,CA,4103,19.4151,126620606096.6,29.661,27.0199,30860493.80857946,3086659.624988491,9673118.305786688,39331866.73669357,476548934.8478487,8415610379.594753
17162287,EOA,17030,80.5849,300272150119.67,70.339,64.0759,17631952.44390334,2090674.797510248,4368198.581486003,8571662.237027604,104527355.61802372,39371892793.1377
17382266,CA,4256,19.7696,112471584530.02,29.4714,26.753,26426594.109496027,2905890.112438163,8999702.794145001,36056101.95902143,415363635.63736814,13986064700.03624
17382266,EOA,17272,80.2304,269158426242.23,70.5286,64.0231,15583512.40401986,1374185.0173120545,2900309.2165452284,7857510.0407061605,101337578.52467921,36819159017.91832
17595510,CA,4318,20.0968,110213664640.56,29.0546,26.4458,25524239.147882387,2719660.7520521856,8622087.57141008,34317542.948913224,342628022.3639746,13425608845.582079
17595510,EOA,17168,79.9032,269119528201.69,70.9454,64.5754,15675648.194413641,1280388.1109220618,2809282.0172877763,7501922.024877096,99945118.47248875,40816222768.611664
17816434,CA,4472,20.4313,130859773337.11,31.7932,29.1927,29262024.449264053,2567885.799212033,8116942.266058331,33309357.135380562,400299430.0407936,14029087772.23688
17816434,EOA,17416,79.5687,280736632343.21,68.2068,62.6278,16119466.716996409,1268639.4233869482,2782880.0186249968,7413657.476872226,99106971.1533266,42278448837.883934
18037988,CA,4438,20.0633,111773325467.79,31.1381,28.429,25185517.2302374,2491303.77449095,7712419.342776593,31581998.795908127,346068715.41760635,13951301137.149319
18037988,EOA,17682,79.9367,247186758011.61,68.8619,62.8708,13979570.071915507,1173627.5748323957,2548788.7645427454,7037918.653196646,87889270.50436388,34816117113.63939
18251965,CA,4507,20.2262,118888321527.91,31.8533,29.1932,26378593.638319515,2475031.361711167,7645198.889639539,30373665.028926596,362588795.6109618,13999233323.658659
18251965,EOA,17776,79.7738,254348416481.37,68.1467,62.4557,14308529.280004822,1173280.4077570275,2574575.067496022,7257468.889839714,87505388.73665196,36026939351.20086
18473543,CA,4386,19.5176,134162220169.54,32.4164,29.7387,30588741.488723885,2761134.6442923946,8310032.247174844,35237921.32262863,418616735.5081546,14005147844.630459
18473543,EOA,18086,80.4824,279709113611.21,67.5836,62.001,15465504.457105363,1200717.6421697163,2646007.9978763107,7302544.357683621,86202196.90855148,45870056563.65111
18687851,CA,4541,19.7874,161556869475.05,33.9379,31.1698,35577377.11408249,3006355.607455023,10040829.966212826,41935691.82067788,500089582.8893841,14484844264.527699
18687851,EOA,18408,80.2126,314479471968.6,66.0621,60.6738,17083847.89051501,1298751.6389288036,2878520.1893124827,8063840.452264435,87504210.94501455,49974245829.69673
18908895,CA,4929,21.0966,194246514047.08,35.2254,32.6303,39408909.32178542,2956989.736654442,9993623.005020304,41530829.62349027,566537859.8885962,14091503670.957998
18908895,EOA,18435,78.9034,357192321831.16,64.7746,60.0025,19375770.102042854,1427820.0428645688,3162814.7723518577,8949706.078778846,91994320.57955708,56306106351.93953
19129889,CA,5149,20.712,194284492862.61,36.4169,33.7713,37732470.93855236,2776283.4621605854,9043499.534844147,39126437.395001404,617921985.7644503,20016607447.5392
19129889,EOA,19711,79.288,339215816665.94,63.5831,58.9639,17209467.640705287,1305787.9897989698,2919088.0478309663,8094540.394393705,88993491.9686884,56503138897.14082
19336607,CA,5618,22.1111,319017123459.95,39.6712,37.2654,56784820.83658857,3171446.2796584927,10792538.80622668,48548879.78600092,893739015.6504656,25786969766.38331
19336607,EOA,19790,77.8889,485135429720.23,60.3288,56.6702,24514170.273887377,1664202.4623423049,3853313.994874055,10611949.751161618,118129714.23689914,81277191039.1851
19557289,CA,6146,23.4285,380333829551.58,38.898,36.8979,61883148.31623547,3239194.2438938944,12107282.411360716,53250646.66869704,918440228.9971218,28770556994.366486
19557289,EOA,20087,76.5715,597438114571.15,61.102,57.9602,29742525.741581373,2060723.7107435397,4812244.964589853,13682768.024760125,150255675.04050785,94441115980.30894
19771560,CA,6359,23.8165,289959769973.93,38.1606,36.3385,45598328.3494148,2613972.788993086,8720418.062262855,39974160.13984168,696911350.1533711,22327769805.9536
19771560,EOA,20341,76.1835,469880196594.43,61.8394,58.8865,23100152.234129492,1684368.6983337668,3797043.546769957,10316316.083936462,120560615.60744289,80370211767.24298
19993250,CA,6432,23.7597,335183918167.54,38.354,36.5402,52111927.575799905,2865510.0255423104,9491535.81486253,43431773.764424294,772071665.1993327,27776434772.1612
19993250,EOA,20639,76.2403,538737975675.13,61.646,58.7308,26102910.78420108,1858525.9544730168,4227838.398700915,11511828.91877394,132347593.98617834,90179480416.14906
20207949,CA,6489,23.7249,273521455892.58,36.1256,34.4274,42151557.388284706,2524062.1566825295,8360937.785440326,39287964.83038993,624954589.9866886,24415663150.3992
20207949,EOA,20862,76.2751,483617864516.89,63.8744,60.8717,23181759.395881798,1604637.8823159784,3694975.0751610384,9996286.055794103,114646563.00463331,83661329828.9809
20429973,CA,6629,23.9245,274098903914.77,37.4061,35.6976,41348454.35431673,2424447.5038031214,7780141.373366203,38747185.59810737,654566734.416595,28995019136.333725
20429973,EOA,21079,76.0755,458666225609.19,62.5939,59.735,21759392.077859044,1519886.7095896658,3456686.159393916,9539708.549607303,108169935.75967945,85794694513.42639
20651994,CA,6538,23.3067,234303866593.21,35.8323,34.2443,35837238.69580993,2188283.801575159,6882792.91130461,34115618.66614276,539073578.5162098,25878301501.23325
20651994,EOA,21514,76.6933,419585357227.77,64.1677,61.3239,19502898.44881342,1305998.3223843297,2890335.83601213,7992745.212858129,100119724.10470639,77699917108.63744
20866919,CA,6524,22.8704,250754836533.8,34.2383,32.6351,38435750.54166201,2505194.61346724,7824497.627882316,38526094.733096264,572558262.369631,24870879216.641865
20866919,EOA,22002,77.1296,481626393668.96,65.7617,62.6824,21890118.792335168,1498931.709819403,3431472.0674331062,9707422.1066302,110436996.08007546,83188290625.59885
21089069,CA,6628,22.943,242867068508.52,32.1076,30.6962,36642587.282517105,2399031.2605164116,7643078.235321159,34184054.47762658,530278722.5459153,25988819236.7698
21089069,EOA,22261,77.057,513548285232.43,67.8924,64.9078,23069416.70331188,1476280.9708567034,3300703.42817677,9383094.358036093,122220574.64261074,91973847503.43782
21303934,CA,6838,23.249,344734548295.6,30.4084,29.1514,50414528.85282274,3297110.087501577,10370641.88808783,46718210.38225033,867075998.9995912,23381336034.470985
21303934,EOA,22574,76.751,788948578980.81,69.5916,66.7151,34949436.474741116,1980451.0289952336,4785590.509610024,12735548.354019152,176578235.27788162,162464304364.42047
21525891,CA,6892,22.9588,313667336110.44,28.7634,27.5971,45511801.525020525,3151141.223816988,10054445.948487252,45087623.53659694,853246087.3527911,10654472043.95454
21525891,EOA,23127,77.0412,776840347856.12,71.2366,68.3479,33590191.025905766,1837060.655851308,4240203.948019588,11681224.69963772,164761138.02093628,158351722304.44897
21747950,CA,6979,22.8012,306608913819.99,26.7466,25.7726,43933072.620718494,3055360.9317958215,9982855.168960713,45062898.53963509,788069619.1471148,10278142833.79853
21747950,EOA,23629,77.1988,839739794032.99,73.2534,70.5858,35538524.4417027,1764378.5052103377,4023555.5677125244,11324512.709242018,163736131.85907924,184768073881.6943
21948292,CA,6850,22.0925,236785986116.13,26.1644,25.2346,34567297.243230365,2336830.06176473,7266061.894271453,32685606.18285048,572493048.6557986,15721403855.609707
21948292,EOA,24156,77.9075,668206216590.65,73.8356,71.2115,27662121.898933914,1422012.3095471612,3180948.9595840606,8846086.738880865,147461926.59695014,136521099913.28749
22170335,CA,6733,21.3407,204595108946.82,23.5727,22.7902,30386916.522622168,2163954.059395931,6823639.049391615,30440278.44692132,548847897.423759,12021047757.219395
22170335,EOA,24817,78.6593,663336355497.38,76.4273,73.89,26729111.314718977,1277728.9631777073,2869210.2188381623,7703119.936674979,133234897.01301466,131729361955.05339
22385294,CA,6731,20.9989,206356334227.23,23.1259,22.3406,30657604.253041964,2240230.74677792,7169018.275386289,31660504.892053183,543638668.8265307,11853329273.92586
22385294,EOA,25323,79.0011,685961731430.27,76.8741,74.2638,27088486.017860048,1263640.6112642745,2943257.4775821166,7872251.321606489,149281254.85700628,138965040538.22342
22606143,CA,6978,21.3336,217070507712.4,21.0993,20.4355,31107840.027572967,2273444.8992705634,7386630.097397934,33214275.140403464,497803779.3704577,16798846704.989468
22606143,EOA,25731,78.6664,811734082952.92,78.9007,76.4186,31546931.054095235,1316564.1968186456,3040147.1338018463,8440816.87253003,144771095.134345,148146483168.0734
22820674,CA,6940,20.8215,214574277174.58,20.4213,19.814,30918483.742734455,2110954.8247918533,7136047.906338282,33240980.53904219,475248444.1824881,19125590217.519024
22820674,EOA,26391,79.1785,836163189768.52,79.5787,77.2122,31683649.341386165,1239311.3159077251,2861555.878502351,7981618.1799982,136341853.67141962,144519081930.30466
23042514,CA,7154,21.1157,261876651841.95,20.5504,19.9769,36605626.480563335,2397879.7843013136,7973264.538852523,35759617.07846589,574449340.6408119,28389669826.177643
23042514,EOA,26726,78.8843,1012434920730.51,79.4496,77.232,37882022.02838081,1358730.9089479255,3149158.953866806,9097489.925616939,150963367.17753264,177972518466.53763
23264566,CA,7460,21.2699,308822299037.57,22.5362,21.9214,41397091.02380286,2428567.1495885463,7965104.979707275,35209503.35868076,772462186.1399881,29254642218.31281
23264566,EOA,27613,78.7301,1061515305247.14,77.4638,75.3504,38442592.447294526,1394112.2115888784,3132388.2111341013,9293963.359229464,137894415.94577575,187561393335.15408
23479244,CA,7539,20.8139,311125866316.02,21.6971,21.154,41268850.81788279,2401978.34161523,7878686.859997999,37143437.20766621,743487618.2436029,27280826767.55289
23479244,EOA,28682,79.1861,1122828249879.1,78.3029,76.3431,39147487.96733505,1339982.1021151326,3079341.3096280177,9469919.89721028,134175345.13993818,193496515955.7909
23700767,CA,7326,19.926,277096176514.25,19.5661,19.112,37823665.91786164,2159413.9787544804,7342924.624525718,34323589.10651122,659392030.1059496,25298623329.117214
23700767,EOA,29440,80.074,1139106916079.49,80.4339,78.567,38692490.355961025,1216403.298274395,2869381.620740512,8307434.7121583605,131023116.8726426,176061423607.4649
23914921,CA,6896,18.4513,233659736846.65,18.0368,17.6119,33883372.512565605,2037130.1711687152,6773640.78387474,31902959.45558375,547973026.2848366,19725066597.5819
23914921,EOA,30478,81.5487,1061803450994.3,81.9632,80.0326,34838357.20829118,1111576.5880888933,2591409.4039297537,7453819.101438405,123847433.45275438,141734072598.80203
