block_number,wallet_type,wallets_considered,total_value_usd,top_1_value_usd,top_5_value_usd,top_10_value_usd,top_1_share_pct,top_5_share_pct,top_10_share_pct
18908895,CA,94904,8862217895.596804,8504834091.302361,8755054636.776146,8802719339.300505,95.96733223551173,98.79078510500287,99.32862679526463
19129889,ALL,17277426,575292459598.2466,564121128272.054,572642609466.104,574089704142.6008,98.0581474448676,99.53939077630305,99.79093147570791
19129889,EOA,17181928,566167324368.1378,555247952217.3445,563583581520.0026,564985863068.0186,98.07135246404766,99.54364324168323,99.79132294477824
19129889,CA,95498,9125135230.109045,8765453357.869154,9022086682.543243,9068922785.476704,96.05833926654485,98.87071758426346,99.38398233872893
19336607,ALL,18058192,856065795752.6173,841296439382.4249,852436097258.3606,854439284423.3806,98.27474051136365,99.57600239230845,99.81000159832263
19336607,EOA,17959228,843213909674.4087,828782624853.0206,839674865149.0907,841615000193.3925,98.28853809741345,99.58029101693963,99.81037913835725
19336607,CA,98964,12851886078.207542,12353528039.284155,12707878480.164059,12773148385.88841,96.12229647935929,98.87948276877685,99.38734523602226
19557289,ALL,18892981,1030771262157.624,1012853774560.239,1026011332087.8386,1028592400090.6215,98.261739703542,99.53821664955794,99.7886182757519
19557289,EOA,18791707,1015635306306.6547,998092502800.8367,1010980353530.963,1013490410606.1079,98.27272610582905,99.54167083924845,99.78881241256308
19557289,CA,101274,15135955850.96643,14560576976.87426,14975860091.174812,15049706789.491528,96.19859571633573,98.94228179992083,99.43017102901106
19771560,ALL,18815891,797939941163.8507,785373555460.1139,794423662609.0493,796267714762.8485,98.42514642324987,99.55933042408272,99.79043204698299
19771560,EOA,18714535,785776463344.307,773500955727.8126,782340378902.6862,784130229086.5869,98.43778629303185,99.56271476661483,99.79049585543531
19771560,CA,101356,12163477819.543177,11688808803.145214,12029266306.148855,12091498301.62748,96.09758801355886,98.89660247352379,99.40823242345996
19993250,ALL,19050417,917299700720.8219,902618838746.8463,913205145535.8313,915374443129.0521,98.39955665935143,99.55362950824326,99.79011684073843
19993250,EOA,18946507,902092427428.4916,887756423642.2012,898094803085.9434,900197564188.9607,98.41080543962035,99.55684980596237,99.78994799402845
19993250,CA,103910,15207273292.32834,14649573501.735527,15045498439.781874,15119183409.59897,96.33267726651458,98.93620079394458,99.42073847798994
20207949,ALL,18924270,794485769948.0153,782241290980.1902,791116447039.0837,792877708017.4148,98.45881708257326,99.57591148433634,99.79759713874981
20207949,EOA,18818826,781187682405.6554,769255054697.044,777904963117.3743,779606861793.04,98.47250181008165,99.57977841148595,99.79763881993796
20207949,CA,105444,13298087542.360888,12802061068.987356,13146905022.631527,13213855505.572134,96.2699412844633,98.8631258498805,99.36658533401564
20429973,ALL,18749385,767833304089.9972,756454073404.7562,764675008273.9502,766306379326.1211,98.51800766850988,99.58867428656404,99.80113850809249
20429973,EOA,18642139,755754562392.8933,744670767241.1711,752680885333.6414,754254671263.8235,98.53341339857369,99.59329692307514,99.80153727099962
20429973,CA,107246,12078741697.10483,11620094700.92621,11934516777.356655,11995747077.400097,96.20285781681586,98.80596072533993,99.3128868736002
20651994,ALL,18516023,684209648391.3519,674360632572.6293,681404484233.9325,682824731747.0717,98.56052661024604,99.59001394323879,99.79758884611809
20651994,EOA,18409169,674375721313.0144,664768119354.4645,671642572935.7009,673015075027.3635,98.57533394887884,99.59471429784097,99.79823616974204
20651994,CA,106854,9833927078.338259,9467438512.63044,9719989482.302221,9767472039.455778,96.2732226628454,98.841382540989,99.32422684901879
20866919,ALL,19248806,768358424648.9421,756727706357.771,765074432237.2866,766748195580.9785,98.48629000241844,99.57259629018111,99.79043256163952
20866919,EOA,19138727,758131658582.9967,746770045026.0293,754930207590.6938,756549520896.1897,98.50136669161093,99.57771833479602,99.79131095913286
20866919,CA,110079,10226766065.947746,9827029370.631226,10102119385.698757,10153999374.02792,96.09126978422307,98.7811720787862,99.28846820734348
21089069,ALL,19276654,791194689570.0063,779970150129.7728,788071520699.3723,789686705174.5184,98.58131764681917,99.60525912119918,99.80940413082051
21089069,EOA,19164094,780375048144.3434,769420795431.8997,777334680569.2808,778895214655.3195,98.59628357691705,99.61039661861405,99.8103689383018
21089069,CA,112560,10819641425.662363,10420033886.240946,10693406062.867163,10745235581.762169,96.30664710871457,98.83327591156772,99.3123076729353
21303934,ALL,21018588,1182563018511.5168,1167010717150.6335,1178435230634.69,1180668428158.8474,98.68486489790126,99.6509456314622,99.83978948072854
21303934,EOA,20901485,1166316385210.2905,1151131700081.4397,1162303239461.651,1164457024705.7852,98.6980646656942,99.65591276950842,99.84057837752403
21303934,CA,117103,16246633301.228071,15700650644.976019,16068746455.96098,16140079888.612085,96.63941047890344,98.905084875316,99.34415081179968
21525891,ALL,20782131,1136595127169.0996,1121657456515.4316,1132632224578.6165,1134756477532.389,98.68575271030124,99.65133559912812,99.8382317860811
21525891,EOA,20664650,1118606657790.8086,1104003350934.226,1114750187755.9033,1116801598855.664,98.69450921332586,99.65524342197983,99.83863327447833
21525891,CA,117481,17988469378.2917,17507207841.65761,17832822404.104008,17894840419.81321,97.32461096876386,99.13474031105991,99.4795056960684
