block,wallet_type,n_wallets,n_wallets_pct_of_top1,total_value_usd,value_pct_of_top1,value_pct_of_all,mean_value,median_value,p75_value,p90_value,p99_value,max_value
18687851,CA,18107,7.8909,164117932986.18,32.1625,31.664,9063783.784512937,186510.77106213782,841544.8726540642,4477714.191425219,120431408.44107795,14484844264.527699
18687851,EOA,211359,92.1091,346159633271.62,67.8375,66.786,1637780.4270062726,99607.84334480009,280749.60592814477,754802.1839201398,6865730.067367723,49974245829.69673
18908895,CA,18761,8.0299,196884534343.89,33.5758,33.0734,10494351.811944254,199892.59547433112,905882.3788473001,4731234.658012302,143965815.16834718,14091503670.957998
18908895,EOA,214879,91.9701,389504079758.51,66.4242,65.4304,1812667.034742836,99871.33801386268,280081.94061967684,747096.386024764,7449252.477040031,56306106351.93953
19129889,CA,19699,7.924,196823796787.82,34.7167,34.2127,9991562.860440642,181713.8800135251,831556.1958227286,4315375.914769886,132410300.8452947,20016607447.5392
19129889,EOA,228901,92.076,370119714893.53,65.2833,64.3357,1616942.3239458546,86078.23203259548,248035.04036293685,695083.3722428536,6749655.147847055,56503138897.14082
19336607,CA,20858,8.2098,322215895456.9,38.1464,37.6391,15448072.464133507,228596.5598083287,1001319.9845469907,5424304.541256067,181140445.8556226,25786969766.38331
19336607,EOA,233205,91.7902,522467164771.39,61.8536,61.0311,2240377.1993370196,104167.99004592249,292974.2961967369,786898.5786009685,8929519.708445229,81277191039.1851
19557289,CA,21508,8.1991,383735059273.65,37.7498,37.2279,17841503.592786223,255902.13500337224,1132918.4703221284,6568441.3569108965,247536621.84976032,28770556994.366486
19557289,EOA,240814,91.8009,632785819903.09,62.2502,61.3895,2627695.3163150353,105358.88300273984,256449.52237622946,702842.1212773884,11032883.184248023,94441115980.30894
19771560,CA,23483,8.7954,292768113816.89,37.153,36.6904,12467236.461137539,176814.16510378852,833854.8292258314,4528935.960123521,167116170.69151413,22327769805.9536
19771560,EOA,243509,91.2046,495238307554.18,62.847,62.0645,2033757.7155430769,68282.49443535217,175894.92009517597,559002.5857401977,8636383.369685978,80370211767.24298
19993250,CA,23704,8.7565,338328477925.73,37.356,36.883,14273054.24931378,199043.91711297818,925665.7373268097,4996319.769004776,187621338.59910274,27776434772.1612
19993250,EOA,246997,91.2435,567357701961.81,62.644,61.8507,2297022.643845094,77334.8435014884,192262.7453397497,612454.6816449246,9509454.66692132,90179480416.14906
20207949,CA,24432,8.933,276320311110.7,35.2012,34.7797,11309770.428564897,166287.93713045694,772891.8286208998,4150966.2786276783,156771118.81853753,24415663150.3992
20207949,EOA,249071,91.067,508653106793.7,64.7988,64.0228,2042201.2470086724,65779.4511417335,168348.0640343739,540352.9099585203,8209508.082852178,83661329828.9809
20429973,CA,24936,8.9996,276774257585.91,36.4587,36.046,11099384.728341123,152735.0149384586,724028.3658836837,3924764.397961189,158332598.1462528,28995019136.333725
20429973,EOA,252144,91.0004,482370444769.39,63.5413,62.8221,1913075.2457698495,60381.616100922736,154342.40379405848,517168.0844778932,7696116.313878707,85794694513.42639
20651994,CA,25072,8.9378,236603058784.93,34.9587,34.5804,9436943.952813135,126069.96342817749,612405.4517489624,3353220.695634263,140019646.223948,25878301501.23325
20651994,EOA,255445,91.0622,440203853751.88,65.0413,64.3374,1723282.3259483636,51180.62786202711,133336.86672525687,471726.1807201185,6608862.952621527,77699917108.63744
20866919,CA,24806,8.6959,253401064235.64,33.3655,32.9795,10215313.401420556,147997.8653705101,712780.0477872525,3915832.562351,153929135.93442348,24870879216.641865
20866919,EOA,260454,91.3041,506070195026.6,66.6345,65.8637,1943030.9959785722,59824.8649858829,158771.12883921614,523834.26367427583,7972747.844092317,83188290625.59885
21089069,CA,25419,8.799,245442802062.98,31.3578,31.0217,9655879.541405363,139412.82695106659,673324.5703379372,3813752.391265085,143697670.44314116,25988819236.7698
21089069,EOA,263467,91.201,537273020924.27,68.6422,67.9064,2039242.1856409826,57618.613270134934,151928.83896729615,504525.74242005084,7848113.607499018,91973847503.43782
21303934,CA,24966,8.4883,348139581551.86,29.7499,29.4394,13944547.847146384,200747.34617740035,1003328.4119940475,5638010.144384002,217046556.1321619,23381336034.470985
21303934,EOA,269156,91.5117,822082652455.0,70.2501,69.5169,3054298.074183728,79852.28751431848,207130.76238046685,665633.7195239789,10207938.917114815,162464304364.42047
21525891,CA,25340,8.4415,316919281400.05,28.1694,27.8832,12506680.402527494,186535.83458145364,944402.5031381121,5341430.726771627,195678881.63008314,10654472043.95454
21525891,EOA,274842,91.5585,808126960959.05,71.8306,71.1006,2940332.8492699303,74977.75391390664,196753.58571946344,609409.630279301,9799948.33213948,158351722304.44897
21747950,CA,25839,8.4419,309718481856.0,26.2681,26.0339,11986473.232555512,174909.5009234228,875937.287425547,5205190.5287067,178896238.44653726,10278142833.79853
21747950,EOA,280240,91.5581,869349727111.47,73.7319,73.0748,3102161.45843374,68661.5180268285,181411.40863902133,574999.0657824383,9437095.769124996,184768073881.6943
21948292,CA,26120,8.4242,239203877210.86,25.7042,25.4922,9157881.975913342,125576.27565354906,654086.448949655,3652179.7652829424,139154703.2208487,15721403855.609707
21948292,EOA,283938,91.5758,691398350674.32,74.2958,73.6832,2435032.826442116,50548.21942431295,136710.48433325093,490046.76245046855,7096475.114478682,136521099913.28749
22170335,CA,26116,8.2778,206750761405.63,23.2026,23.0303,7916632.003585325,107863.76164245684,564119.2762226328,3283774.375215698,114045531.63639084,12021047757.219395
22170335,EOA,289379,91.7222,684318369429.64,76.7974,76.2272,2364782.4114038707,44862.34967781069,122460.61083376844,445026.4739311481,6468878.014582094,131729361955.05339
22385294,CA,25858,8.0671,208564429087.53,22.7557,22.5797,8065760.271000335,113945.55553041861,593351.216559393,3448085.1524189566,117488534.33606435,11853329273.92586
22385294,EOA,294680,91.9329,707974385221.43,77.2443,76.6469,2402519.292864899,47004.03849467585,125378.84027991924,457537.3164567455,6589961.907791427,138965040538.22342
