block,wallet_type,bucket,wallet_count,wallet_pct,value_sum_usd,value_pct
12344945,CA,1K–10K,48236,12.2124,128834742.808416,0.0475
12344945,CA,1–100,95001,24.0524,2562767.564768,0.0009
12344945,CA,>100K,8528,2.1591,270738548739.21802,99.7826
12344945,EOA,0–1,2771608,22.7842,406813.197534,0.0001
12344945,EOA,100–1K,1950160,16.0315,697683179.992256,0.1733
12344945,EOA,10K–100K,352526,2.898,10280291887.813114,2.5534
12344945,EOA,1K–10K,996278,8.19,3276014998.991078,0.8137
12344945,EOA,1–100,6000334,49.3262,272386480.171097,0.0677
12344945,EOA,>100K,93681,0.7701,388090071453.9828,96.3919
12545219,ALL,0–1,3307289,24.7476,616535.6271,0.0001
12545219,ALL,100–1K,2273774,17.014,839111820.212643,0.1508
12545219,ALL,10K–100K,324929,2.4314,9537595400.676546,1.7137
12545219,ALL,1K–10K,1038388,7.77,3377227282.715045,0.6068
12545219,ALL,1–100,6328921,47.3576,239084739.535395,0.043
12545219,ALL,>100K,90804,0.6795,542568955225.73865,97.4857
12545219,CA,0–1,140581,35.328,21738.381882,0.0
12545219,CA,100–1K,96388,24.2223,42204075.879423,0.0222
12545219,CA,10K–100K,11601,2.9153,381140668.72127,0.2001
12545219,CA,1K–10K,37526,9.4303,111525356.468978,0.0585
12545219,CA,1–100,103552,26.0226,2762258.309311,0.0015
12545219,CA,>100K,8283,2.0815,189944346611.3463,99.7177
12545219,EOA,0–1,3166708,24.4228,594797.245218,0.0002
12545219,EOA,100–1K,2177386,16.7928,796907744.333232,0.2177
12545219,EOA,10K–100K,313328,2.4165,9156454731.955288,2.5012
12545219,EOA,1K–10K,1000862,7.719,3265701926.246072,0.8921
12545219,EOA,1–100,6225369,48.0124,236322481.226086,0.0646
12545219,EOA,>100K,82521,0.6364,352624608614.3929,96.3243
12738509,ALL,0–1,3344475,24.678,516120.748149,0.0001
12738509,ALL,100–1K,2314291,17.0765,823200046.459492,0.1592
12738509,ALL,10K–100K,271508,2.0034,7986252300.923077,1.5442
12738509,ALL,1K–10K,986660,7.2803,3183036155.567488,0.6155
12738509,ALL,1–100,6552870,48.3519,215861654.356786,0.0417
12738509,ALL,>100K,82663,0.6099,504962349632.1079,97.6393
12738509,CA,0–1,150063,38.1696,23129.632904,0.0
12738509,CA,100–1K,78825,20.0497,31959407.237208,0.0201
12738509,CA,10K–100K,10144,2.5802,352264234.791801,0.222
