block_number,block_date,n_wallets,mean_alpha_baseline,median_alpha_baseline,frac_positive_alpha_baseline,mean_alpha_better_return,median_alpha_better_return,frac_positive_alpha_better_return,mean_alpha_safer_risk,median_alpha_safer_risk,frac_positive_alpha_safer_risk,mean_alpha_max_sharpe,median_alpha_max_sharpe,frac_positive_alpha_max_sharpe,mean_alpha_equal_weight,median_alpha_equal_weight,frac_positive_alpha_equal_weight,mean_alpha_mcap_weight,median_alpha_mcap_weight,frac_positive_alpha_mcap_weight
18251965,2023-10-01,3693849,0.031889440551196226,-0.03713141163155628,0.21493434084609306,0.16345080609120652,-0.03686374781634202,0.2376412787853537,0.050320250760856375,-0.034895410421637796,0.2290258751778971,0.14021085495937435,-0.02531930857378235,0.28880850300052874,0.13758387459915533,-0.0424137129483889,0.2382988584536076,-0.008716972149384494,-0.022678228303574435,0.1821438829795154
18473543,2023-11-01,3759567,0.05384010485630336,0.0069435338480527305,0.5291811530423584,0.0584790285916948,0.016944061021400683,0.5683494934390051,0.057187007748479644,0.01687873875679749,0.5801803771551352,0.07456134961712059,0.026314263432613394,0.5947716851435285,0.06994759463836991,0.028378132970425213,0.6066642780937272,0.03765270971129042,0.0003637285209984408,0.5143797144724379
18687851,2023-12-01,3781817,0.21618946942064227,0.0009141744714421668,0.5177635512241867,0.968383671022435,0.01411395530378156,0.5536989230309134,0.45039823566854376,0.02252379879960869,0.5825911195597249,0.47842375721657376,0.0369242792086905,0.60474396302095,0.9667437394236219,0.04046986328819825,0.6060718961282368,0.07011040882783376,-0.0002523807058705846,0.4873540946058469
18908895,2024-01-01,3855395,-0.03321092111229908,-0.08493174800421344,0.19223555563048664,0.006322545814540118,-0.06408415396122832,0.2641887536815294,-0.024578397678847463,-0.07841397766531799,0.19967370399141982,-0.013464965373118835,-0.07677706942764621,0.26263586480762674,-0.0005319266047137961,-0.062479854740258224,0.2197751462560905,-0.04408209623508397,-0.0458825110412654,0.16698729961521452
19129889,2024-02-01,3977147,0.04257768072546578,-0.0294107976220493,0.3482036243568568,0.08360025737226552,-0.029754737940762027,0.35579901874383824,0.0533285348718173,-0.0238329290562758,0.3557125245810628,0.07003331807868798,-0.026884558280544146,0.3753826549534126,0.06668875990050678,-0.041684134575058734,0.36275827873598837,0.02849371332901256,-0.008217016281336392,0.3122806373513476
19336607,2024-03-01,4005064,0.3010794368906323,0.03461302283767645,0.5964603811574547,0.4528967159237455,0.05373255788369233,0.626021456835646,0.35511843758257183,0.047987443976413455,0.6409078606484191,0.3142102468030053,0.029845636340493094,0.5547047437943563,0.6387260443502207,0.10233313120713908,0.7023628086842058,1.3437437535195467,0.006311374553393059,0.622567080076623
19557289,2024-04-01,4153412,-0.05749993319096296,-0.05122444597744631,0.2989799711658752,-0.0563595442911388,-0.05687482829388962,0.25609884114554493,-0.05509360327143365,-0.05460903550158189,0.2622174250953192,-0.06585638489229491,-0.07873760347140346,0.25942839284906,-0.052204440650646305,-0.07817016206332764,0.22656866210238716,-0.052620238445142076,-0.037021368060464986,0.3321676250754801
19771560,2024-05-01,4273747,-0.08414857698372602,-0.0975642126614315,0.22489960215239696,-0.09394671982599721,-0.1049357967304782,0.21544583710734397,-0.08307865562992275,-0.08720171941009641,0.22761525190892207,-0.11970423063911258,-0.11329939085390978,0.1662634685675123,-0.10101136329790292,-0.10602806646082658,0.18825634741597946,-0.0688074929672504,-0.04740180450058856,0.2878050572483584
19993250,2024-06-01,4506122,-0.11127945797214171,-0.12152720434664141,0.12985755822856104,-0.1049869444320434,-0.11398605430225583,0.1103842727737953,-0.10914138529257289,-0.11663261121507792,0.09130445203214649,-0.08550353327469905,-0.08155472786835574,0.12401084568948643,-0.11841541824418965,-0.12804616643740163,0.08122816026729858,-0.10086427026680178,-0.08532898063304788,0.09042498183582247
20207949,2024-07-01,4524722,-0.005485032969726483,7.308435749161049e-05,0.5006860089967958,-0.0122015917871056,-0.0054896728596590325,0.4602415352810626,-0.008818693431834038,-0.0012519136134225683,0.4885338811975631,-0.010343520911823847,-0.0010348661713323326,0.4846660192604098,-0.015730745818287834,-0.016088830017306183,0.40188900003138317,-0.0033020274904610163,0.0017631960969778605,0.606962372494929
