strategy,beta_bin,count
equal_weight,4.6,2380
equal_weight,4.65,1796
equal_weight,4.7,2265
equal_weight,4.75,1711
equal_weight,4.8,1826
equal_weight,4.85,1429
equal_weight,4.9,1411
equal_weight,4.95,1636
mcap_weight,-1.0,13815
mcap_weight,-0.95,81388
mcap_weight,-0.9,14307
mcap_weight,-0.85,16932
mcap_weight,-0.8,83134
mcap_weight,-0.75,18784
mcap_weight,-0.7,26818
mcap_weight,-0.65,19762
mcap_weight,-0.6,273358
mcap_weight,-0.55,30642
mcap_weight,-0.5,43486
mcap_weight,-0.45,35637
mcap_weight,-0.4,128999
mcap_weight,-0.35,71475
mcap_weight,-0.3,85256
mcap_weight,-0.25,86785
mcap_weight,-0.2,145511
mcap_weight,-0.15,173082
mcap_weight,-0.1,270270
mcap_weight,-0.05,8034356
mcap_weight,0.0,33789258
mcap_weight,0.05,5103655
mcap_weight,0.1,4437874
mcap_weight,0.15,4622900
mcap_weight,0.2,3843897
mcap_weight,0.25,3032833
mcap_weight,0.3,2666859
mcap_weight,0.35,2549104
mcap_weight,0.4,2388450
mcap_weight,0.45,2501556
mcap_weight,0.5,2728412
mcap_weight,0.55,3441442
mcap_weight,0.6,3275829
mcap_weight,0.65,4511932
mcap_weight,0.7,4623188
mcap_weight,0.75,5488645
mcap_weight,0.8,6293745
mcap_weight,0.85,6820951
mcap_weight,0.9,7718569
mcap_weight,0.95,8363766
mcap_weight,1.0,9188559
mcap_weight,1.05,9492380
mcap_weight,1.1,9440467
mcap_weight,1.15,9844537
mcap_weight,1.2,9192043
mcap_weight,1.25,7821625
mcap_weight,1.3,7777797
mcap_weight,1.35,7513256
mcap_weight,1.4,5454985
mcap_weight,1.45,5359469
mcap_weight,1.5,4264756
mcap_weight,1.55,3670116
mcap_weight,1.6,3182509
mcap_weight,1.65,2235506
mcap_weight,1.7,2130684
mcap_weight,1.75,1601550
mcap_weight,1.8,1554011
mcap_weight,1.85,1230423
mcap_weight,1.9,1098306
mcap_weight,1.95,752394
mcap_weight,2.0,579599
mcap_weight,2.05,464904
mcap_weight,2.1,463421
mcap_weight,2.15,349985
mcap_weight,2.2,385664
mcap_weight,2.25,320638
mcap_weight,2.3,214264
mcap_weight,2.35,160349
mcap_weight,2.4,120556
mcap_weight,2.45,96442
mcap_weight,2.5,82368
mcap_weight,2.55,73908
mcap_weight,2.6,63750
mcap_weight,2.65,50959
mcap_weight,2.7,48187
mcap_weight,2.75,45611
mcap_weight,2.8,52952
mcap_weight,2.85,48112
mcap_weight,2.9,26619
mcap_weight,2.95,81410
mcap_weight,3.0,19571
mcap_weight,3.05,13680
mcap_weight,3.1,15309
mcap_weight,3.15,28240
mcap_weight,3.2,9115
mcap_weight,3.25,9935
mcap_weight,3.3,11651
mcap_weight,3.35,16850
mcap_weight,3.4,13668
mcap_weight,3.45,6341
mcap_weight,3.5,5078
mcap_weight,3.55,4852
mcap_weight,3.6,5828
mcap_weight,3.65,4513
mcap_weight,3.7,4738
mcap_weight,3.75,5179
mcap_weight,3.8,4169
mcap_weight,3.85,62858
mcap_weight,3.9,4060
mcap_weight,3.95,1979
mcap_weight,4.0,2153
mcap_weight,4.05,1283
mcap_weight,4.1,2756
mcap_weight,4.15,1353
mcap_weight,4.2,1587
mcap_weight,4.25,1782
mcap_weight,4.3,1075
mcap_weight,4.35,1242
mcap_weight,4.4,2557
mcap_weight,4.45,1384
mcap_weight,4.5,1268
mcap_weight,4.55,881
mcap_weight,4.6,1308
mcap_weight,4.65,1023
mcap_weight,4.7,1228
mcap_weight,4.75,5587
mcap_weight,4.8,474
mcap_weight,4.85,604
mcap_weight,4.9,771
mcap_weight,4.95,756
